trip_id,truck_id,truck_type,fuel_type,route,trip_date,distance_km,revenue,fuel_cost,maintenance_cost,toll_cost,other_cost
T001,TRUCK_001,Heavy Truck,LNG,Chongqing-Chengdu,2025-01-05,320,6240,1800,360,480,120
T002,TRUCK_002,Heavy Truck,Diesel,Chongqing-Guiyang,2025-01-08,410,7800,2760,600,720,180
T003,TRUCK_003,Heavy Truck,LNG,Chongqing-Xian,2025-01-12,690,11760,4320,840,1080,240
T004,TRUCK_004,Heavy Truck,Diesel,Chongqing-Kunming,2025-01-15,850,15000,6240,1080,1320,360
T005,TRUCK_005,Medium Truck,LNG,Chongqing-Wuhan,2025-01-20,870,14160,5160,960,1200,300
T006,TRUCK_002,Heavy Truck,Diesel,Chongqing-Chengdu,2025-02-03,320,6480,2520,420,504,144
T007,TRUCK_001,Heavy Truck,LNG,Chongqing-Guiyang,2025-02-10,410,8040,2280,480,744,216
T008,TRUCK_002,Heavy Truck,Diesel,Chongqing-Xian,2025-02-15,690,12120,5400,900,1140,264
T009,TRUCK_003,Heavy Truck,LNG,Chongqing-Kunming,2025-02-22,850,15360,5160,1020,1380,336
T010,TRUCK_004,Heavy Truck,Diesel,Chongqing-Wuhan,2025-02-28,870,14400,6120,1080,1260,360
T011,TRUCK_005,Medium Truck,LNG,Chongqing-Chengdu,2025-03-04,320,6360,1740,384,492,132
T012,TRUCK_006,Heavy Truck,Diesel,Chongqing-Guiyang,2025-03-09,410,7920,2820,624,744,204
T013,TRUCK_001,Heavy Truck,LNG,Chongqing-Xian,2025-03-14,690,11880,4200,840,1080,276
T014,TRUCK_002,Heavy Truck,Diesel,Chongqing-Kunming,2025-03-19,850,15120,6360,1140,1380,384
T015,TRUCK_003,Heavy Truck,LNG,Chongqing-Wuhan,2025-03-25,870,14280,5040,996,1236,312
T016,TRUCK_006,Heavy Truck,Diesel,Chongqing-Chengdu,2025-04-02,320,6600,2580,456,528,156
T017,TRUCK_001,Heavy Truck,LNG,Chongqing-Guiyang,2025-04-07,410,8160,2340,504,756,216
T018,TRUCK_004,Heavy Truck,Diesel,Chongqing-Xian,2025-04-13,690,12360,5520,936,1164,276
T019,TRUCK_003,Heavy Truck,LNG,Chongqing-Kunming,2025-04-18,850,15600,5220,1056,1404,348
T020,TRUCK_005,Medium Truck,LNG,Chongqing-Wuhan,2025-04-24,870,14520,5100,1020,1248,324
T021,TRUCK_002,Heavy Truck,Diesel,Chongqing-Chengdu,2025-05-05,320,6720,2640,480,540,168
T022,TRUCK_006,Heavy Truck,Diesel,Chongqing-Guiyang,2025-05-11,410,8040,2880,660,768,216
T023,TRUCK_001,Heavy Truck,LNG,Chongqing-Xian,2025-05-16,690,12000,4260,864,1092,288
T024,TRUCK_004,Heavy Truck,Diesel,Chongqing-Kunming,2025-05-21,850,15360,6480,1200,1416,396
T025,TRUCK_005,Medium Truck,LNG,Chongqing-Wuhan,2025-05-27,870,14640,5160,1032,1260,336
T026,TRUCK_003,Heavy Truck,LNG,Chongqing-Chengdu,2025-06-03,320,6480,1800,420,504,144
T027,TRUCK_001,Heavy Truck,LNG,Chongqing-Guiyang,2025-06-08,410,8280,2400,516,780,228
T028,TRUCK_002,Heavy Truck,Diesel,Chongqing-Xian,2025-06-14,690,12480,5640,960,1188,288
T029,TRUCK_003,Heavy Truck,LNG,Chongqing-Kunming,2025-06-20,850,15840,5280,1080,1428,360
T030,TRUCK_004,Heavy Truck,Diesel,Chongqing-Wuhan,2025-06-26,870,14760,6240,1140,1308,372
